Nº Autorizacao,Data Publicação DOU - Autorização,Código Instalação i-Simp,Razão Social,CNPJ,Endereço,COMPLEMENTO,BAIRRO,CEP,UF,MUNICÍPIO,Vinculação a Distribuidor,Data de Vinculação a Distribuidor,Delivery,Data Autorização Delivery,Número Despacho Delivery,Status PMQC,latitude,longitude
PR/SP0088682,27/01/2011,1169896,AUTO POSTO MARECHAL MERCADO SHOPPING LTDA,5520575000230,"1A AVENIDA AVENIDA CHARLES SCHNNEIDER 1700,  1700",LOJA  122,PARQUE SENHOR DO BONFIM,12040900,SP,TAUBATE,BANDEIRA BRANCA,06/01/2021,NÃO,,,ADIMPLENTE,-23.0264,-45.5556
PR/SP0173678,23/09/2004,162649,AUTO POSTO JARDIM IPIRANGA LTDA,5566333000104,"AVENIDA BARBACENA,  141",,JARDIM ISMENIA,12221000,SP,SAO JOSE DOS CAMPOS,IPIRANGA,04/11/2009,NÃO,,,ADIMPLENTE,-23.1719096,-45.8442956
PR/SP0168100,06/09/2004,161836,AUTO POSTO BRASIL GAS LORENA LTDA,5616532000171,"RUA CASTRO ALVES,  613",,VILA ZELIA,12606560,SP,LORENA,BANDEIRA BRANCA,06/09/2004,NÃO,,,ADIMPLENTE,-22.7308,-45.1247
PR/SP0163550,07/10/2003,160762,POSTO CRUZEIRO CENTRAL LTDA.,5776305000103,"RUA DOUTOR CELESTINO,  558",,CENTRO,12701430,SP,CRUZEIRO,VIBRA,18/07/2007,NÃO,,,ADIMPLENTE,-22.5739527,-44.9613529
PR/SP0174841,15/10/2004,162748,JAGUARI COMBUSTÍVEIS LTDA - ME,5823274000102,"ESTRADA MUNICIPAL DE IGARATÁ,  278",CS 4,PARATEI DO MEIO,12333020,SP,JACAREI,BANDEIRA BRANCA,15/10/2004,NÃO,,,ADIMPLENTE,-23.3053,-45.9658
PR/SP0168933,17/05/2004,162005,USA - UNIDADE DE SERVICOS E ABASTECIMENTO AUTOMOTIVO LTDA,5827728000105,"AVENIDA JUSCELINO KUBTCHESK,  7838",,VILA INDUSTRIAL,12220000,SP,SAO JOSE DOS CAMPOS,BANDEIRA BRANCA,17/05/2004,NÃO,,,ADIMPLENTE,-23.1791,-45.8872
PR/SP0170656,10/11/2004,1033822,SCUDERIA II AUTO POSTO LTDA,5873676000103,"RUA LOANDA,  793",,CHACARAS REUNIDAS,12238330,SP,SAO JOSE DOS CAMPOS,BANDEIRA BRANCA,06/07/2023,NÃO,,,ADIMPLENTE,-23.2538357,-45.9254159
PR/SP0171981,02/08/2004,162446,COMÉRCIO DE COMBUSTÍVEIS F.J.P LTDA,5971570000142,"RUA INOCENCIO LAZARIN,  31",,CENTRO,12120000,SP,TREMEMBE,BANDEIRA BRANCA,02/08/2004,NÃO,,,ADIMPLENTE,-22.9583,-45.5464
PR/SP0171809,21/10/2015,1218570,POSTO SOL DA DUTRA LTDA.,6012414000621,"RODOVIA PRESIDENTE DUTRA,  S/N",KM 101,UNA,12400970,SP,PINDAMONHANGABA,BANDEIRA BRANCA,01/12/2022,NÃO,,,ADIMPLENTE,-22.9239,-45.4617
PR/SP0230016,06/10/2022,1287060,POSTO SOL DA DUTRA LTDA.,6012414000893,"RODOVIA PRESIDENTE DUTRA,  S/N",KM 96,MOREIRA CESAR,12400000,SP,PINDAMONHANGABA,BANDEIRA BRANCA,06/10/2022,NÃO,,,ADIMPLENTE,-22.9273651,-45.355019
PR/SP0251054,15/10/2025,1313767,POSTO SOL DA DUTRA LTDA.,6012414001199,"RODOVIA PRESIDENTE DUTRA,  S/N",KM    25 E 38 MTS,ZONA RURAL,12760000,SP,LAVRINHAS,VIBRA,15/10/2025,NÃO,,,ADIMPLENTE,-22.5708,-44.8917
PR/SP0251097,20/10/2025,1313872,POSTO SOL DA DUTRA LTDA.,6012414001270,"RODOVIA PRESIDENTE DUTRA,  S/N",KM    26 E 51 MTS,ZONA RURAL,12760000,SP,LAVRINHAS,BANDEIRA BRANCA,20/10/2025,NÃO,,,ADIMPLENTE,-22.5708,-44.8917
PR/SP0183340,01/04/2005,1036536,PETROTRUCK AUTO POSTO LTDA,6276865000161,"RUA ANTONIO DE OLIVEIRA FILHO,  36",,CIDADE NOVA JACAREI,12325160,SP,JACAREI,BANDEIRA BRANCA,01/04/2005,NÃO,,,ADIMPLENTE,-23.305971,-46.0183591
