Nº Autorizacao,Data Publicação DOU - Autorização,Código Instalação i-Simp,Razão Social,CNPJ,Endereço,COMPLEMENTO,BAIRRO,CEP,UF,MUNICÍPIO,Vinculação a Distribuidor,Data de Vinculação a Distribuidor,Delivery,Data Autorização Delivery,Número Despacho Delivery,Status PMQC,latitude,longitude
PR/SP0078902,21/12/2009,1156328,MASTER VALE AUTO POSTO LTDA .,11233578000104,"AVENIDA CIDADE JARDIM,  764",,CID. JARDIM,12231675,SP,SAO JOSE DOS CAMPOS,IPIRANGA,14/07/2020,NÃO,,,ADIMPLENTE,-23.1791,-45.8872
PR/SP0082226,05/04/2010,1160519,AUTO POSTO AEROPORTO DE UBATUBA LTDA,11307599000127,"AVENIDA ANTONIO CARLOS RIBEIRO,  0",,CENTRO,11680000,SP,UBATUBA,RAIZEN,14/07/2011,NÃO,,,ADIMPLENTE,-23.4331,-45.0711
PR/SP0085953,28/09/2010,1166282,POSTO SETE LORENA LTDA,11326281000193,"AVENIDA SETE DE SETEMBRO,  817",,BAIRRO DA CRUZ,12606150,SP,LORENA,BANDEIRA BRANCA,28/09/2010,NÃO,,,ADIMPLENTE,-22.7308,-45.1247
PF/SP0084404,25/06/2010,1162945,POSTO FLUTUANTE MONACO LTDA,11391765000116,"AVENIDA PLINIO FRANCA,  85",PIER SACO DA RIBEIRA,PRAIA DO SACO DA RIBEIRA,11680000,SP,UBATUBA,VIBRA,25/06/2010,NÃO,,,ADIMPLENTE,-23.4331,-45.0711
PR/SP0082894,11/05/2010,1161451,AUTO POSTO LISBOA SJCAMPOS LTDA,11514626000132,"AVENIDA SALINAS,  1055",,BOSQUE DOS EUCALIPTOS,12233590,SP,SAO JOSE DOS CAMPOS,BANDEIRA BRANCA,11/05/2010,NÃO,,,ADIMPLENTE,-23.2514934,-45.8898658
PR/SP0085186,16/09/2010,1165528,PRINCESA DO VALE AUTO POSTO & SERVICOS LTDA,11568323000100,"AVENIDA ITAGUASSU,  1616",,SAO SEBASTIAO,12576200,SP,APARECIDA,BANDEIRA BRANCA,20/08/2024,NÃO,,,ADIMPLENTE,-22.8514,-45.2347
PR/SP0082503,19/12/2012,1161104,DIFLEX SERVICOS AUTOMOTIVOS LTDA - EPP,11640621000156,"RUA AUGUSTO CESAR NETO,  19",,JARDIM ITAPUA,12247300,SP,SAO JOSE DOS CAMPOS,BANDEIRA BRANCA,19/12/2012,NÃO,,,ADIMPLENTE,-23.1791,-45.8872
PR/SP0090085,01/03/2011,1171238,AUTO POSTO TAK DE TAUBATE LTDA,11788640000124,"AVENIDA SANTA TEREZINHA,  26",,MONCAO,12052231,SP,TAUBATE,IPIRANGA,21/07/2023,NÃO,,,ADIMPLENTE,-23.0139395,-45.5671141
PR/SP0085105,20/08/2010,1164846,AUTO POSTO TRIUNFO DO PARQUE LTDA,11847219000147,"AVENIDA GUADALUPE,  330",,JARDIM AMERICA,12235000,SP,SAO JOSE DOS CAMPOS,BANDEIRA BRANCA,20/08/2010,NÃO,,,ADIMPLENTE,-23.2319115,-45.8957196
PR/SP0087760,18/10/2010,1166560,AUTO POSTO BOSQUE DOS IPES S. J. CAMPOS LTDA,12010311000110,"RUA GISELE MARTINS,  401",,JARDIM MORUMBI,12236500,SP,SAO JOSE DOS CAMPOS,VIBRA,18/10/2010,NÃO,,,ADIMPLENTE,-23.2510456,-45.8976225
PR/SP0088088,18/11/2010,1167565,AUTO POSTO F3 LTDA,12194868000159,"AVENIDA OSWALDO ARANHA,  66",,TERRA NOVA,12081800,SP,TAUBATE,BANDEIRA BRANCA,18/11/2010,NÃO,,,ADIMPLENTE,-23.0264,-45.5556
PR/SP0089342,13/12/2010,1168495,SALINAS AUTO POSTO LTDA,12355784000150,"AVENIDA SALINAS,  1665",,BOSQUE DOS EUCALIPTOS,12233593,SP,SAO JOSE DOS CAMPOS,BANDEIRA BRANCA,05/07/2024,NÃO,,,ADIMPLENTE,-23.2514395,-45.8899191
PR/SP0087033,20/09/2010,1165753,AUTO POSTO ESTRELA DO VALE LTDA,12398199000137,"RUA ANTONIO SAES,  199",,CENTRO,12210040,SP,SAO JOSE DOS CAMPOS,BANDEIRA BRANCA,20/09/2010,NÃO,,,ADIMPLENTE,-23.1869727,-45.8820114
PR/SP0087822,08/11/2010,1167048,CENTRO AUTOMOTIVO AVENIDA DO POVO LTDA,12502366000148,"RUA MARECHAL ARTHUR DA COSTA E SILVA,  1016",,CENTRO,12010490,SP,TAUBATE,BANDEIRA BRANCA,08/11/2010,NÃO,,,ADIMPLENTE,-23.033748,-45.5637774
PR/SP0088047,18/11/2010,1167515,AUTO POSTO LIDER TAUBATE LTDA,12517005000175,"AVENIDA INDEPENDENCIA,  412",,JARDIM INDEPENDENCIA,12032000,SP,TAUBATE,RAIZEN,18/05/2011,NÃO,,,ADIMPLENTE,-23.0376507,-45.5794191
PR/SP0090522,17/01/2011,1169438,CENTRO AUTOMOTIVO AJ & AR LTDA,12636131000149,"AVENIDA PRESIDENTE CASTELO BRANCO,  614",,SUMARE,11661300,SP,CARAGUATATUBA,RAIZEN,25/10/2012,NÃO,,,ADIMPLENTE,-23.6202564,-45.4059152
PR/SP0090666,17/01/2011,1169454,AUTO POSTO PRATA S. J. CAMPOS LTDA,12910056000162,"RUA GENESIA BERARDINELLI TARANTINO,  556",,JARDIM PAULISTA,12216220,SP,SAO JOSE DOS CAMPOS,BANDEIRA BRANCA,22/01/2024,NÃO,,,ADIMPLENTE,-23.1791,-45.8872
PR/SP0093039,18/03/2011,1171790,AUTO POSTO CAVALO DE TROIA LTDA,13039471000155,"AVENIDA SALINAS,  6130",,BOSQUE DOS EUCALIPTOS,12233593,SP,SAO JOSE DOS CAMPOS,BANDEIRA BRANCA,18/03/2011,NÃO,,,ADIMPLENTE,-23.2568777,-45.893151
PR/SP0095865,11/11/2011,1179866,AUTOPOSTO NOVA GERACAO LTDA.,13123380000101,"AVENIDA NAIR TOLEDO DE MIRA,  4350",,JARDIM PAULISTA,12215656,SP,SAO JOSE DOS CAMPOS,RAIZEN,11/11/2011,NÃO,,,ADIMPLENTE,-23.1926482,-45.8754248
PR/SP0095582,27/05/2011,1173897,AUTO POSTO MENEGUZZI LTDA,13471573000145,"RUA PREFEITO ANTONINHO FRANÇA,  7",,CENTRO,12800000,SP,QUELUZ,BANDEIRA BRANCA,27/05/2011,NÃO,,,ADIMPLENTE,-22.5364,-44.7778
PR/SP0245777,05/03/2024,1299712,AUTO POSTO MUFFATO LTDA,13616378001723,"AVENIDA DOS IMIGRANTES,  111",ANEXO POSTO MAKRO,QUIRIRIM,12043490,SP,TAUBATE,BANDEIRA BRANCA,05/03/2024,NÃO,,,ADIMPLENTE,-23.0264,-45.5556
PR/SP0245523,19/02/2024,1299361,AUTO POSTO MUFFATO LTDA,13616378002029,"RUA PATATIVA,  280",ANEXO POSTO MAKRO,VILA TATETUBA,12220140,SP,SAO JOSE DOS CAMPOS,BANDEIRA BRANCA,27/02/2024,NÃO,,,ADIMPLENTE,-23.1791,-45.8872
PR/SP0170807,23/06/2015,1215540,AUTO POSTO CARVALHO ALMEIDA LTDA,13709355000104,"AVENIDA SAO JERONIMO,  625",,JARDIM SAO JUDAS TADEU,12228350,SP,SAO JOSE DOS CAMPOS,VIBRA,11/02/2020,NÃO,,,ADIMPLENTE,-23.1791,-45.8872
PR/SP0100047,18/01/2012,1182059,POSTO 2 ABASTECIMENTO DE COMBUSTIVEIS LTDA,13896264000117,"RUA ENGENHEIRO ANTONIO PENIDO,  1349",,VILA CANEVARI,12710000,SP,CRUZEIRO,BANDEIRA BRANCA,18/01/2012,NÃO,,,ADIMPLENTE,-22.5789135,-44.9583337
PR/SP0100046,02/09/2011,1177385,MJR COMERCIO DE COMBUSTIVEIS LTDA.,13896271000119,"RUA DR. CELESTINO,  1.307",,VILA CANEVARI,12710260,SP,CRUZEIRO,BANDEIRA BRANCA,26/12/2016,NÃO,,,ADIMPLENTE,-22.5739527,-44.9613529
PR/SP0100805,05/09/2011,1177418,AUTO POSTO BRITANIA DO LITORAL LTDA,13995391000173,"RUA ALVARO THEODORO DA CRUZ,  415",,JARDIM BRITANIA,11672190,SP,CARAGUATATUBA,IPIRANGA,25/06/2020,NÃO,,,ADIMPLENTE,-23.6601841,-45.4346736
PR/SP0104063,11/01/2012,1181825,AUTO POSTO LIDER DE UBATUBA LTDA,14314376000185,"AVENIDA MADAME CURIE,  66",,PEREQUE-ACU,11680000,SP,UBATUBA,IPIRANGA,11/01/2012,NÃO,,,ADIMPLENTE,-23.4331,-45.0711
AV/SP0249200,05/03/2025,1308267,JETFLY REVENDORA DE COMBUSTIVEIS LTDA,14607609001614,"RUA DOUTORA  TÂNIA LIS TIZZONI NOGUEIRA,  10",ANEXO POSTO,PARQUE MARTIM CERERÊ,12227751,SP,SAO JOSE DOS CAMPOS,BANDEIRA BRANCA,05/03/2025,NÃO,,,ADIMPLENTE,-23.1791,-45.8872
PR/SP0113663,18/12/2012,1193004,AUTO POSTO LIDER CRUZEIRO LTDA.,15237666000135,"RUA ENGENHEIRO ANTONIO PENIDO,  875",,VILA CANEVARI,12710000,SP,CRUZEIRO,IPIRANGA,29/01/2013,NÃO,,,ADIMPLENTE,-22.5789135,-44.9583337
PR/SP0115823,09/07/2012,1188555,AUTO POSTO LAGOA AZUL LTDA,15376947000179,"AVENIDA   ALDO LENCIONI TOLEDO,  72",,PARQUE MEIA LUA,12335020,SP,JACAREI,RAIZEN,09/07/2012,NÃO,,,ADIMPLENTE,-23.3053,-45.9658
PR/SP0115205,08/11/2012,1191986,UMUARAMA SERVIÇOS AUTOMOTIVOS LTDA,15593566000141,"AVENIDA RIO GRANDE DO SUL,  1197",,CENTRO,11680000,SP,UBATUBA,BANDEIRA BRANCA,20/05/2016,NÃO,,,ADIMPLENTE,-23.4331,-45.0711
PR/SP0153083,17/04/2014,1205692,AUTO POSTO MORRO SANTO ANTONIO LTDA,15753624000157,"AVENIDA MARGINAL,  6155",,MASSAGUACU,11677000,SP,CARAGUATATUBA,RAIZEN,06/05/2022,NÃO,,,ADIMPLENTE,-23.5954981,-45.3409816
PR/SP0139963,06/08/2013,1199363,AUTO POSTO PEROLA DE UBATUBA LTDA,16628227000116,"PRACA 13 DE MAIO,  71",,CENTRO,11690168,SP,UBATUBA,RAIZEN,06/08/2013,NÃO,,,ADIMPLENTE,-23.4357213,-45.0734314
PR/SP0133744,27/03/2013,1196083,J. A. S. AUTO POSTO LTDA,16903290000113,"PRACA CEL. VITORIANO,  110",,CENTRO,12020020,SP,TAUBATE,IPIRANGA,27/03/2013,NÃO,,,ADIMPLENTE,-23.0264,-45.5556
PR/SP0131823,20/05/2014,1206205,ESTORIL CENTER 115 COMBUSTIVEIS LTDA.,17317466000118,"RUA NABOR ANTONIO CROZARIOL,  20",,PIRACANGAGUA,12092762,SP,TAUBATE,RAIZEN,10/01/2024,NÃO,,,ADIMPLENTE,-23.0524935,-45.6033397
PR/SP0152782,08/07/2014,1207429,AUTO POSTO SANTA INES S. J. CAMPOS LTDA,17859715000105,"RUA RODOLFO MAYER,  10",,JARDIM SANTA INES II,12248180,SP,SAO JOSE DOS CAMPOS,VIBRA,08/07/2014,NÃO,,,ADIMPLENTE,-23.170988,-45.8011188
PR/SP0167563,14/11/2014,1210705,AUTO POSTO PORTAL DE IGARATA LTDA,17915873000127,"AVENIDA FRANCISCO LOURENCO,  10",LOTE: 005; QUADRA: O;,CENTRO,12350000,SP,IGARATA,BANDEIRA BRANCA,14/11/2014,NÃO,,,ADIMPLENTE,-23.2047,-46.0
PR/SP0148082,11/12/2013,1202692,LEAO CENTER AUTO POSTO LTDA,18019333000128,"RODOVIA GENERAL EURYALE DE JESUS ZERBINE,  2880",KM 89,SAO SILVESTRE,12340970,SP,JACAREI,BANDEIRA BRANCA,29/06/2020,NÃO,,,ADIMPLENTE,-23.3293596,-45.9977633
PR/SP0149125,03/02/2014,1203992,AUTOPINDA 2 ADMINISTRACAO PARTICIPACOES E SERVICOS AUTOMOTIVOS LTDA,18110581000180,"RUA ALCIDES RAMOS NOGUEIRA,  583",,MOMBACA,12421705,SP,PINDAMONHANGABA,VIBRA,03/02/2014,NÃO,,,ADIMPLENTE,-22.9239,-45.4617
PR/SP0179121,16/01/2017,1230613,AUTOPINDA 2 ADMINISTRACAO PARTICIPACOES E SERVICOS AUTOMOTIVOS LTDA,18110581000260,"RUA DOUTOR RODRIGO ROMERO,  25",,CRISPIM,12402060,SP,PINDAMONHANGABA,VIBRA,16/01/2017,NÃO,,,ADIMPLENTE,-22.9239,-45.4617
PR/SP0151082,05/06/2014,1206703,AUTO POSTO TRIUNFO PEREQUE ACU LTDA,18209275000103,"AVENIDA PADRE MANOEL DA NOBREGA,  1360",,PEREQUE ACU,11695164,SP,UBATUBA,BANDEIRA BRANCA,05/06/2014,NÃO,,,ADIMPLENTE,-23.411891,-45.0615198
PR/SP0143962,11/12/2013,1202710,POSTO 3 ABASTECIMENTO DE COMBUSTIVEIS LTDA,18339634000139,"AVENIDA GOVERNADOR JANIO QUADROS,  389",,DOUTOR JOAO BATISTA,12720000,SP,CRUZEIRO,BANDEIRA BRANCA,11/12/2013,NÃO,,,ADIMPLENTE,-22.5665189,-44.9385446
PR/SP0167865,03/12/2014,1211140,AUTO POSTO DAMA LTDA,18901724000171,"AVENIDA LUCAS NOGUEIRA GARCEZ,  1128",,JARDIM ESPERANCA,12324000,SP,JACAREI,BANDEIRA BRANCA,03/12/2014,NÃO,,,ADIMPLENTE,-23.3070266,-46.0081449
AV/SP0078581,11/12/2009,1155894,MILDO ALVES ADMINISTRAÇÃO COMÉRCIO E TRANSPORTES LTDA.,19059849001050,"PRAÇA MARECHAL DO AR EDUARDO GOMES,  50",AEROPORTO,VILA DAS ACÁCIAS,12228901,SP,SAO JOSE DOS CAMPOS,VIBRA,11/12/2009,NÃO,,,ADIMPLENTE,-23.1791,-45.8872
PR/SP0167453,24/11/2014,1210848,POSTO DE SERVICOS VISTA VERDE II LTDA,19337499000155,"AVENIDA PEDRO FRIGGI,  630",,CIDADE VISTA VERDE,12223430,SP,SAO JOSE DOS CAMPOS,BANDEIRA BRANCA,24/11/2014,NÃO,,,ADIMPLENTE,-23.1777597,-45.8318858
PR/SP0167703,19/11/2014,1210738,AUTO POSTO JARDIM PETROPOLIS II LTDA.,19337501000196,"RUA JOSE COBRA,  770",,CONJUNTO RESIDENCIAL TRINTA E UM DE MARCO,12237000,SP,SAO JOSE DOS CAMPOS,BANDEIRA BRANCA,19/11/2014,NÃO,,,ADIMPLENTE,-23.1791,-45.8872
PR/SP0152482,05/03/2014,1204689,AUTO POSTO ITAIM DE TAUBATE II LTDA.,19343992000188,"AVENIDA OSWALDO ARANHA,  700",,TERRA NOVA,12081800,SP,TAUBATE,VIBRA,16/06/2014,NÃO,,,ADIMPLENTE,-23.0264,-45.5556
PR/SP0150442,03/02/2014,1203860,AUTO POSTO GAP SAO JOSE LTDA,19378060000170,"AVENIDA PRESIDENTE JUSCELINO KUBITSCHEK,  9500",,VILA TATETUBA,12220000,SP,SAO JOSE DOS CAMPOS,BANDEIRA BRANCA,25/04/2024,NÃO,,,ADIMPLENTE,-23.1818838,-45.8553413
PR/SP0172745,30/03/2016,1222277,POSTO PARAENSE LTDA,19863197000110,"RUA   AUDEMO VENEZIANI,  512",,ALTO DA PONTE,12212372,SP,SAO JOSE DOS CAMPOS,BANDEIRA BRANCA,30/03/2016,NÃO,,,ADIMPLENTE,-23.1791,-45.8872
PR/SP0167890,10/02/2015,1212821,POSTO CIDADE QUELUZ LTDA,20311418000127,"RODOVIA PRESIDENTE DUTRA,  S/N","TRECHO QUELUZ - SP,       KM 08",ZONA SUBURBANA,12800000,SP,QUELUZ,CIAPETRO,10/02/2015,NÃO,,,ADIMPLENTE,-22.5364,-44.7778
PR/SP0167711,19/11/2014,1210753,POSTO SERRA DA BOCAINA LTDA,20358063000121,"RUA MANOEL DE AGUIAR,  119",,CENTRO,12850000,SP,BANANAL,IPIRANGA,19/11/2014,NÃO,,,ADIMPLENTE,-22.6844068,-44.3255165
PR/SP0173846,16/03/2016,1221907,REDE DOM PEDRO DE POSTOS LTDA.,20415295003009,"RODOVIA PRESIDENTE DUTRA,  S/N",KM 71,PADRE VITOR,12570000,SP,APARECIDA,RAIZEN,16/03/2016,NÃO,,,ADIMPLENTE,-22.8514,-45.2347
PR/SP0173848,23/02/2016,1221356,REDE DOM PEDRO DE POSTOS LTDA.,20415295003190,"RODOVIA PRESIDENTE DUTRA (BR-116),  S/N",KM: 58;,VILA SAO JOSE,12522640,SP,GUARATINGUETA,IPIRANGA,13/04/2020,NÃO,,,ADIMPLENTE,-22.7927204,-45.1634002
PR/SP0184438,22/12/2017,1239949,REDE DOM PEDRO DE POSTOS LTDA.,20415295004242,"RODOVIA PRESIDENTE DUTRA,  S/N",KM    49.7,PARQUE MONDESIR,12605530,SP,LORENA,RAIZEN,22/12/2017,NÃO,,,ADIMPLENTE,-22.7308,-45.1247
PR/SP0188482,28/08/2018,1246745,REDE DOM PEDRO DE POSTOS LTDA.,20415295004676,"RUA JOSE BONIFACIO,  343",,CENTRO,12500030,SP,GUARATINGUETA,BANDEIRA BRANCA,28/08/2018,NÃO,,,ADIMPLENTE,-22.8141638,-45.1945316
PR/SP0192520,04/06/2019,1254481,REDE DOM PEDRO DE POSTOS LTDA.,20415295004757,"RUA JOAO DE CASTRO COELHO,  121",,CENTRO,12500200,SP,GUARATINGUETA,BANDEIRA BRANCA,04/06/2019,NÃO,,,ADIMPLENTE,-22.8145621,-45.190005
PR/SP0200930,28/07/2020,1265777,REDE DOM PEDRO DE POSTOS LTDA.,20415295006539,"RUA JACAREI,  34",,VILA NAIR,12231050,SP,SAO JOSE DOS CAMPOS,BANDEIRA BRANCA,28/07/2020,NÃO,,,ADIMPLENTE,-23.1791,-45.8872
PR/SP0250691,05/09/2025,1312696,REDE DOM PEDRO DE POSTOS LTDA.,20415295007853,"RODOVIA PRESIDENTE DUTRA,  S/N",KM    159,PARQUE MEIA LUA,12335010,SP,JACAREI,BANDEIRA BRANCA,05/09/2025,NÃO,,,ADIMPLENTE,-23.3053,-45.9658
PR/SP0250935,03/10/2025,1313455,REDE DOM PEDRO DE POSTOS LTDA.,20415295008310,"RODOVIA PRESIDENTE DUTRA,  S/N",KM    86,MOREIRA CESAR,12440245,SP,PINDAMONHANGABA,RAIZEN,16/10/2025,NÃO,,,ADIMPLENTE,-22.9332194,-45.3667317
PR/SP0168084,08/06/2015,1215242,AUTO POSTO VILA DAS ACACIAS LTDA,20827632000130,"RUA DAS ACACIAS,  280",,VILA DAS ACACIAS,12231020,SP,SAO JOSE DOS CAMPOS,BANDEIRA BRANCA,23/06/2016,NÃO,,,ADIMPLENTE,-23.2083282,-45.8838136
PR/SP70974,09/07/2015,1215970,AUTO POSTO BRASIL GAS CANAS RJ-SP LTDA,20885960000193,"RODOVIA PRESIDENTE DUTRA,  S/N","KM    45,7",ALTO DO CRUZEIRO,12615000,SP,CANAS,BANDEIRA BRANCA,09/07/2015,NÃO,,,ADIMPLENTE,-22.7272,-45.0522
PR/SP0177912,27/10/2016,1228371,AUTO POSTO PEROLA TAUBATE LTDA,21082653000137,"AVENIDA ASSIS CHATEAUBRIAND,  328",,BEL RECANTO,12031230,SP,TAUBATE,BANDEIRA BRANCA,04/11/2024,NÃO,,,ADIMPLENTE,-23.0440102,-45.5824627
PR/SP0167871,31/12/2014,1211938,AUTO POSTO TATETUBA SJCAMPOS LTDA - EPP,21250215000130,"RUA JANDAIA,  02",,RESIDENCIAL TATETUBA,12220060,SP,SAO JOSE DOS CAMPOS,RAIZEN,31/12/2014,NÃO,,,ADIMPLENTE,-23.1791,-45.8872
PR/SP0171480,13/08/2015,1216906,AGP COMERCIO DE COMBUSTIVEIS EIRELI,21286314000172,"AL FRANCISCO DA CUNHA MENEZES,  1155",,FALCAO,12530000,SP,CUNHA,IPIRANGA,13/08/2015,NÃO,,,ADIMPLENTE,-23.0747,-44.96
PR/SP0176571,21/07/2016,1225385,SANTOS FRANCA COMERCIO DE COMBUSTIVEIS LTDA,21559337000103,"RODOVIA PRESIDENTE DUTRA (BR-116),  S/N",: KM 59  800 M;,VILA SAO JOSE,12522640,SP,GUARATINGUETA,BANDEIRA BRANCA,23/05/2019,NÃO,,,ADIMPLENTE,-22.8164,-45.1925
PR/SP0172898,18/11/2015,1219138,MILLENIUM & AUTO POSTO LTDA,21994573000158,"RUA RUI BARBOSA,  312",,CENTRO,12308520,SP,JACAREI,BANDEIRA BRANCA,21/02/2025,NÃO,,,ADIMPLENTE,-23.305021,-45.9637484
PR/SP0180331,12/04/2017,1232802,CENTRO AUTOMOTIVO BARREIRO LTDA,22230680000172,"ESTRADA DO BARREIRO,  1972",,SAO GONCALO,12092000,SP,TAUBATE,RAIZEN,12/04/2017,NÃO,,,ADIMPLENTE,-23.0473783,-45.5811893
PR/SP0183158,21/09/2017,1237424,POSTO DE SERVICOS SAO JORGE SALVADOR LTDA.,22526323000156,"AVENIDA SAO JORGE,  17",,CIDADE SALVADOR,12312000,SP,JACAREI,BANDEIRA BRANCA,21/09/2017,NÃO,,,ADIMPLENTE,-23.3051475,-45.9321136
PR/SP0174811,08/07/2016,1224947,AUTO POSTO MM MERCADO LTDA,23318911000167,"RUA SAO JOSE,  325",,CENTRO,12010190,SP,TAUBATE,BANDEIRA BRANCA,29/01/2021,NÃO,,,ADIMPLENTE,-23.0292759,-45.5548524
PR/SP0184893,02/02/2018,1240826,AUTO POSTO LOBO GUARA LTDA,23459235000141,"RUA ALBERTO BARBETA,  1620",,VILLAGE MANTIQUEIRA,12513592,SP,GUARATINGUETA,RAIZEN,02/02/2018,NÃO,,,ADIMPLENTE,-22.7911967,-45.1948932
PR/SP0180135,03/04/2017,1232497,AUTO POSTO SAO JOAO DO VALE EIRELI,23784709000120,"RUA SANTA HELENA,  97",,SAO JOAO,12322550,SP,JACAREI,BANDEIRA BRANCA,03/04/2017,NÃO,,,ADIMPLENTE,-23.3114758,-45.982198
PR/SP0178851,21/12/2016,1229981,AUTO POSTO LIDER PIQUETE LTDA - EPP,23878891000189,"RODOVIA ITAJUBA LORENA,  327",: 329 - BR 459;,VILA CELESTE,12620000,SP,PIQUETE,RAIZEN,21/12/2016,NÃO,,,ADIMPLENTE,-22.6033,-45.1761
PR/SP0175967,16/06/2016,1224371,AUTO POSTO IAVE ADONAI LTDA,24052745000162,"RUA MONSENHOR FELIPPO,  170",,CENTRO,12501410,SP,GUARATINGUETA,BANDEIRA BRANCA,25/09/2024,NÃO,,,ADIMPLENTE,-22.8162276,-45.194052
PR/SP0176549,21/07/2016,1225370,AUTO POSTO & SERVICOS CAMINHO DO OURO LTDA,24383849000150,"PRACA EDGAR JOSE DE OLIVEIRA,  100",,VILA RICA,12530000,SP,CUNHA,BANDEIRA BRANCA,21/07/2016,NÃO,,,ADIMPLENTE,-23.0747,-44.96
PR/SP0179691,13/03/2017,1231876,BABY AUTO POSTO LTDA,24474162000120,"AVENIDA SANTA CRUZ DOS LAZAROS,  253",,SANTA CRUZ DOS LAZAROS,12322310,SP,JACAREI,BANDEIRA BRANCA,28/05/2025,NÃO,,,ADIMPLENTE,-23.3105478,-45.9908442
PR/SP0177332,20/10/2016,1228146,AUTO POSTO BRASIL GAS SANTA ISABEL LTDA,24496451000120,"RODOVIA PRESIDENTE DUTRA,  S/N",KM    195,CACHOEIRA,7500000,SP,SANTA ISABEL,BANDEIRA BRANCA,20/10/2016,NÃO,,,ADIMPLENTE,-23.3153,-46.2214
PR/SP0185743,07/03/2018,1241682,AUTO POSTO KF LTDA,24567696000109,"AVENIDA FRANCISCO ALVES MONTEIRO,  2769",,RESIDENCIAL NOVO HORIZONTE,12042335,SP,TAUBATE,RAIZEN,07/03/2018,NÃO,,,ADIMPLENTE,-23.0333781,-45.6145647
PR/SP0181384,14/06/2017,1234360,AUTO POSTO SANTO ANTONIO DE CARAGUA LTDA,24864224000100,"AVENIDA MIGUEL VARLEZ,  700",,JARDIM PRIMAVERA,11660650,SP,CARAGUATATUBA,IPIRANGA,14/06/2017,NÃO,,,ADIMPLENTE,-23.6256082,-45.4242761
PR/SP0194068,19/08/2019,1256706,POSTO 9 ABASTECIMENTO DE COMBUSTIVEIS LTDA,25215793000197,"ESTRADA MUNICIPAL PIQUETE 491,  20",,JARDIM SANTA ISABEL,12620000,SP,PIQUETE,BANDEIRA BRANCA,20/02/2026,NÃO,,,ADIMPLENTE,-22.6033,-45.1761
PR/SP0178900,28/12/2016,1230221,AUTO POSTO CONFIANCA PINDAMONHANGABA LTDA,26201564000186,"AVENIDA NOSSA SENHORA DO BOM SUCESSO,  1084",,ALTO DO CARDOSO,12420010,SP,PINDAMONHANGABA,RAIZEN,28/12/2016,NÃO,,,ADIMPLENTE,-22.9424998,-45.462047
PR/SP78714,15/12/2016,1229800,AUTO POSTO JARDIM SAO PAULO II LTDA,26334165000193,"AVENIDA MARIA AUGUSTA FAGUNDES GOMES,  61",,RESIDENCIAL SAO PAULO,12322300,SP,JACAREI,RAIZEN,15/12/2016,NÃO,,,ADIMPLENTE,-23.3053,-45.9658
PR/SP0180313,10/04/2017,1232756,AUTO POSTO IAVE JIREH LTDA,26452645000159,"AVENIDA ENGENHEIRO FRANCISCO JOSE LONGO,  670",,JARDIM SAO DIMAS,12245000,SP,SAO JOSE DOS CAMPOS,BANDEIRA BRANCA,06/08/2025,NÃO,,,ADIMPLENTE,-23.1980802,-45.8893443
PR/SP0180381,12/04/2017,1232796,AUTO POSTO LINCE DO VALE LTDA,27017843000157,"AVENIDA GRANADEIRO GUIMARAES,  359",,CENTRO,12020130,SP,TAUBATE,BANDEIRA BRANCA,17/06/2025,NÃO,,,ADIMPLENTE,-23.0264,-45.5556
PR/SP0184357,20/12/2017,1239898,AUTO POSTO LINCE DO VALE LTDA,27017843000238,"RUA RIO GRANDE DO SUL,  317",,VILA SAO PEDRO,12216370,SP,SAO JOSE DOS CAMPOS,RAIZEN,20/12/2017,NÃO,,,ADIMPLENTE,-23.1928009,-45.8695251
PR/SP0199110,27/04/2020,1263377,AUTO POSTO LINCE DO VALE LTDA,27017843000319,"AVENIDA SEVERINO MOREIRA BARBOSA,  193",,CENTRO,12630000,SP,CACHOEIRA PAULISTA,BANDEIRA BRANCA,21/08/2025,NÃO,,,ADIMPLENTE,-22.6653,-45.0128
PR/SP0227982,13/07/2022,1285828,AUTO POSTO LENNO LTDA,27839537000104,"AVENIDA PEDRO FRIGGI,  53",,CIDADE VISTA VERDE,12223430,SP,SAO JOSE DOS CAMPOS,RAIZEN,13/07/2022,NÃO,,,ADIMPLENTE,-23.1775615,-45.8315584
PR/SP0185651,07/03/2018,1241687,AUTO POSTO VIP LORENA LTDA,28039566000146,"RUA JOAQUIM LUIS BASTOS,  38",CENTRO,CRUZ,12606090,SP,LORENA,IPIRANGA,07/03/2018,NÃO,,,ADIMPLENTE,-22.7308,-45.1247
PR/SP0197077,15/01/2020,1260804,AUTO POSTO LIDER ARARETAMA LTDA,28068405000180,"AVENIDA PREFEITO NICANOR RAMOS NOGUEIRA (ARARETAMA),  1020",,CONJUNTO RESIDENCIAL ARARETAMA,12423010,SP,PINDAMONHANGABA,RAIZEN,20/12/2021,NÃO,,,ADIMPLENTE,-22.9239,-45.4617
PR/SP0186531,16/04/2018,1242984,AUTO POSTO AVENIDA ITALIA LTDA,28348028000133,"AVENIDA ITALIA,  1490",,JARDIM DAS NACOES,12030212,SP,TAUBATE,IPIRANGA,16/04/2018,NÃO,,,ADIMPLENTE,-23.0368861,-45.5791951
