Nº Autorizacao,Data Publicação DOU - Autorização,Código Instalação i-Simp,Razão Social,CNPJ,Endereço,COMPLEMENTO,BAIRRO,CEP,UF,MUNICÍPIO,Vinculação a Distribuidor,Data de Vinculação a Distribuidor,Delivery,Data Autorização Delivery,Número Despacho Delivery,Status PMQC
PR/SP0026065,05/08/2002,1012305,PINHO COMERCIO DE COMBUSTIVEIS E DERIVADOS LTDA.,4597735000103,"AVENIDA NOSSA SENHORA DO PERPETUO SOCORRO,  1914",,SOCORRO,12421010,SP,PINDAMONHANGABA,IPIRANGA,04/11/2009,NÃO,,,ADIMPLENTE
PR/SP0027297,05/09/2002,1012507,CHORORAO COMBUSTIVEIS LTDA,4671912000146,"RUA SEBASTIAO BARRETO DA SILVA,  S/N",,CHORORAO,12260000,SP,PARAIBUNA,VIBRA,05/09/2002,NÃO,,,ADIMPLENTE
PR/SP71481,13/08/2015,1216915,AUTO POSTO PRAIA DE SAO FRANCISCO LTDA,4736440000243,"RODOVIA OSWALDO CRUZ,  770",,MATO DENTRO,11680000,SP,UBATUBA,RAIZEN,13/08/2015,NÃO,,,ADIMPLENTE
PR/SP0170369,29/05/2015,1215082,AUTO POSTO PRAIA DE SAO FRANCISCO LTDA,4736440000324,"AVENIDA MARECHAL FLORIANO PEIXOTO,  20",,POIARES,11673000,SP,CARAGUATATUBA,RAIZEN,29/05/2015,NÃO,,,ADIMPLENTE
PR/SP0031000,12/03/2003,1013012,VERANEIO AUTO POSTO UBATUBA LTDA.,4864806000189,"RUA MARIA VITORIA JEAN,  531",,CENTRO,11680000,SP,UBATUBA,VIBRA,12/03/2003,NÃO,,,ADIMPLENTE
PF/SP0197384,07/07/2006,1045050,POSTO FLUTUANTE IMOLA LTDA,5123688000110,"PRAIA SACO DA RIBEIRA,  S/N",,SACO DA RIBEIRA,11680000,SP,UBATUBA,VIBRA,07/07/2006,NÃO,,,ADIMPLENTE
PR/SP0212869,18/05/2007,1055856,AUTO POSTO ITAGUA DE UBATUBA LTDA.,5212042000100,"RUA CAPITAO FELIPE,  387",/////////////////////,ITAGUA,11680000,SP,UBATUBA,RAIZEN,18/05/2011,NÃO,,,ADIMPLENTE
PR/SP0030964,23/06/2005,1056335,AUTO POSTO FLECHEIRA LTDA.,5339816000168,"AVENIDA JOSE HERCULANO,  7167",,TRAVESSAO,11669330,SP,CARAGUATATUBA,IPIRANGA,01/10/2015,NÃO,,,ADIMPLENTE
PR/SP0168100,06/09/2004,161836,AUTO POSTO BRASIL GAS LORENA LTDA,5616532000171,"RUA CASTRO ALVES,  613",,VILA ZELIA,12606560,SP,LORENA,BANDEIRA BRANCA,06/09/2004,NÃO,,,ADIMPLENTE
PR/SP0163550,07/10/2003,160762,POSTO CRUZEIRO CENTRAL LTDA.,5776305000103,"RUA DOUTOR CELESTINO,  558",,CENTRO,12701430,SP,CRUZEIRO,VIBRA,18/07/2007,NÃO,,,ADIMPLENTE
PR/SP0171809,21/10/2015,1218570,POSTO SOL DA DUTRA LTDA.,6012414000621,"RODOVIA PRESIDENTE DUTRA,  S/N",KM 101,UNA,12400970,SP,PINDAMONHANGABA,BANDEIRA BRANCA,01/12/2022,NÃO,,,ADIMPLENTE
PR/SP0230016,06/10/2022,1287060,POSTO SOL DA DUTRA LTDA.,6012414000893,"RODOVIA PRESIDENTE DUTRA,  S/N",KM 96,MOREIRA CESAR,12400000,SP,PINDAMONHANGABA,BANDEIRA BRANCA,06/10/2022,NÃO,,,ADIMPLENTE
PR/SP0251054,15/10/2025,1313767,POSTO SOL DA DUTRA LTDA.,6012414001199,"RODOVIA PRESIDENTE DUTRA,  S/N",KM    25 E 38 MTS,ZONA RURAL,12760000,SP,LAVRINHAS,VIBRA,15/10/2025,NÃO,,,ADIMPLENTE
PR/SP0251097,20/10/2025,1313872,POSTO SOL DA DUTRA LTDA.,6012414001270,"RODOVIA PRESIDENTE DUTRA,  S/N",KM    26 E 51 MTS,ZONA RURAL,12760000,SP,LAVRINHAS,BANDEIRA BRANCA,20/10/2025,NÃO,,,ADIMPLENTE
PR/SP0179760,22/03/2005,1036157,AUTO POSTO MAR VIRADO LTDA,6697685000153,"RUA DR ALTINO ARANTES,  116",,CENTRO,11660020,SP,CARAGUATATUBA,VIBRA,22/07/2015,NÃO,,,ADIMPLENTE
PR/SP0190837,08/02/2007,1051493,AUTO POSTO BRASIL GAS PINDA LTDA,6975639000179,"RODOVIA PRESIDENTE DUTRA,  KM 87",,MOREIRA CESAR,12440245,SP,PINDAMONHANGABA,BANDEIRA BRANCA,08/02/2007,NÃO,,,ADIMPLENTE
PR/SP0206604,31/01/2007,1051087,AUTO POSTO BRASIL GAS CIDADE NOVA DE PINDA LTDA,7022736000100,"AVENIDA GASTAO VIDIGAL NETO,  1200",LOTES 15/16/17 - QUADRA - B1,CIDADE NOVA,12414020,SP,PINDAMONHANGABA,BANDEIRA BRANCA,31/01/2007,NÃO,,,ADIMPLENTE
PF/SP0184786,07/04/2005,1036605,D. CONFIANCA POSTO DE SERVICOS LTDA,7047212000173,"RUA DR. FRANCISCO GOMES DA SILVA PRADO,  40",BOX   3,SACO DO INDAIA,11630000,SP,ILHABELA,VIBRA,07/04/2005,NÃO,,,ADIMPLENTE
PR/SP0229302,10/06/2008,1066368,AUTO POSTO A FERA DE SANTA ISABEL LTDA.,7124666000109,"RUA PREFEITO JOSE BASILIO ALVARENGA,  141",151,CENTRO,7500000,SP,SANTA ISABEL,VIBRA,03/04/2013,NÃO,,,ADIMPLENTE
PR/SP0189389,19/09/2005,1040006,PETROMARKKA AUTO POSTO LTDA,7308325000185,"AVENIDA CEL. BERTOLDO,  147",,CENTRO,7500000,SP,SANTA ISABEL,VIBRA,19/02/2013,NÃO,,,ADIMPLENTE
PR/SP0213237,31/05/2007,1056250,POSTO E SERVICOS TIGRAO DA DUTRA LTDA,7543502000108,"RODOVIA PRESIDENTE DUTRA,  S/N",KM 12,ENTUPIDO,12800000,SP,QUELUZ,BANDEIRA BRANCA,08/03/2016,NÃO,,,ADIMPLENTE
PR/SP0191547,21/03/2019,1056251,SIQUEIRA CAMPOS & CAMPOS LTDA.,7587338000130,"AVENIDA DAHER PEDRO,  918",,FALCAO,12530000,SP,CUNHA,RUFF C.J.,21/03/2019,NÃO,,,ADIMPLENTE
PR/SP0200659,03/10/2006,1047088,AUTO POSTO CACHOEIRA PAULISTA LTDA.,7673415000175,"RODOVIA PRESIDENTE DUTRA,  S/N",KM 37,ZONA RURAL,12630000,SP,CACHOEIRA PAULISTA,RAIZEN,11/03/2011,NÃO,,,ADIMPLENTE
PR/SP0196532,09/06/2006,1044525,AUTO POSTO PRAIA DA FLECHEIRA LTDA,7679108000100,"AVENIDA GASPAR DE SOUZA,  450",,PRAIA DAS PALMEIRAS,11666250,SP,CARAGUATATUBA,BANDEIRA BRANCA,02/07/2015,NÃO,,,ADIMPLENTE
PR/SP0220102,05/11/2007,1060799,AUTO POSTO LITORAL VALE LTDA.,7939610000102,"AVENIDA   UM,  320",,TABATINGA,11679010,SP,CARAGUATATUBA,VIBRA,05/11/2007,NÃO,,,ADIMPLENTE
PR/SP0203894,19/12/2006,1049074,AUTO POSTO LIDER FAZENDA LTDA,8299526000126,"RODOVIA VEREADOR ABEL FABRICIO DIAS,  2651",,VILA SAO BENEDITO,12445010,SP,PINDAMONHANGABA,RAIZEN,11/12/2013,NÃO,,,ADIMPLENTE
PR/SP0217174,29/08/2007,1059079,AUTO POSTO PORTAL PEREQUE-ACU LTDA,8362201000140,"AVENIDA PADRE MANOEL DA NOBREGA,  2240",,PEREQUE-ACU,11680000,SP,UBATUBA,VIBRA,29/08/2007,NÃO,,,ADIMPLENTE
PR/SP0219585,23/10/2007,1060505,CENTRO AUTOMOTIVO BP LTDA.,8883186000186,"AVENIDA JOSE HERCULANO,  5437",,PORTO NOVO,11667000,SP,CARAGUATATUBA,BANDEIRA BRANCA,23/10/2007,NÃO,,,ADIMPLENTE
PR/SP0068603,30/04/2009,1108724,UBATUBA SERVICOS AUTOMOTIVOS LTDA,8967293000192,"RUA ANTONIO MARQUES DO VALE,  146",,CENTRO,11680000,SP,UBATUBA,ALE,15/05/2023,NÃO,,,ADIMPLENTE
PR/SP0061148,10/09/2008,1102627,AUTO POSTO TREVO DE CARAGUA LTDA,9603710000180,"PRAÇA PRIMEIRO CENTENARIO,  60",,CAPUTERA,11675010,SP,CARAGUATATUBA,VIBRA,10/09/2008,NÃO,,,ADIMPLENTE
PR/SP0106782,15/02/2012,1183392,LUANA CARVALHO DA SILVA - COMBUSTIVEIS - ME,9812877000151,"RODOVIA DOS TAMOIOS,  S/Nº",KM 60,CENTRO,12260000,SP,PARAIBUNA,BANDEIRA BRANCA,07/04/2017,NÃO,,,ADIMPLENTE
PR/SP0084522,08/07/2010,1163338,AUTO POSTO TRES PRAIAS DE UBATUBA LTDA,10571192000140,"AVENIDA MARGINAL,  1950",,PEREQUE MIRIM,11680000,SP,UBATUBA,VIBRA,08/07/2010,NÃO,,,ADIMPLENTE
PR/SP0067443,31/03/2009,1108100,AUGE COMBUSTVEIS E LOGISTICA LTDA.,10573669000126,"RUA LUIZ DOMICIANO DE CASTRO,  97/99",,CENTRO,12525000,SP,POTIM,VIBRA,06/09/2021,NÃO,,,ADIMPLENTE
PR/SP0068106,15/04/2009,1108338,AUTO POSTO OCEANO LTDA,10599431000170,"RUA DONA MARIA ALVES,  604",,CENTRO,11680000,SP,UBATUBA,BANDEIRA BRANCA,15/04/2009,NÃO,,,ADIMPLENTE
PR/SP0170085,07/05/2015,1214487,POSTO MAXIMO CARAGUA LTDA,10655049000136,"AVENIDA JOSE HERCULANO,  4860",,PRAIA DAS PALMEIRAS EM CARAGUATATUBA,11666000,SP,CARAGUATATUBA,BANDEIRA BRANCA,07/05/2015,NÃO,,,ADIMPLENTE
PR/SP0076720,16/10/2009,1153579,AUTO POSTO BRASIL GAS SP-RJ LTDA,10704173000144,"RODOVIA PRESIDENTE DUTRA,  1030",,KM 52 SENTIDO SAO PAULO/RIO - PARQUE DAS RODOVIAS,12605467,SP,LORENA,BANDEIRA BRANCA,16/10/2009,NÃO,,,ADIMPLENTE
PR/SP0071664,06/07/2009,1109907,AUTO POSTO LUDINA LTDA,10713366000161,"RUA ORRIS BENEDITO BARBOSA,  457",,PITEU,12630000,SP,CACHOEIRA PAULISTA,BANDEIRA BRANCA,12/11/2019,NÃO,,,ADIMPLENTE
PR/SP0080732,17/02/2010,1158865,AUTO POSTO RB ANDRADE LTDA,10765882000130,"RUA DOUTOR FREDERICO MACHADO,  27",,CENTRO,12410040,SP,PINDAMONHANGABA,BANDEIRA BRANCA,29/05/2017,NÃO,,,ADIMPLENTE
PR/SP0075841,07/10/2009,1153271,AUTO POSTO LORINHO LTDA.,11001392000120,"AVENIDA PROFESSOR MANOEL C. RIBEIRO,  4100",,JARDIM ELOYNA,12400000,SP,PINDAMONHANGABA,BANDEIRA BRANCA,10/08/2016,NÃO,,,ADIMPLENTE
PR/SP0080709,17/02/2010,1158905,POSTO DE SERVICO AUTOMOTIVO LAGOINHA LTDA,11014038000130,"AVENIDA MARGINAL,  326",,LAGOINHA,11680000,SP,UBATUBA,VIBRA,02/05/2016,NÃO,,,ADIMPLENTE
PM/SP0250272,16/07/2025,1311370,POSTO DE SERVICO AUTOMOTIVO LAGOINHA LTDA,11014038000210,"RUA PLINIO FRANCA,  330",CAIS  SACO DA RIBEIRA,SACO DA RIBEIRA,11685716,SP,UBATUBA,VIBRA,16/07/2025,NÃO,,,ADIMPLENTE
PR/SP0078863,21/12/2009,1156302,AUTO POSTO DOCE MAR LTDA,11034435000173,"RUA IRENE,  135",,ITAGUA,11680000,SP,UBATUBA,BANDEIRA BRANCA,21/12/2009,NÃO,,,ADIMPLENTE
PR/SP0080064,04/02/2010,1157844,ECOILHA POSTO DE SERVICOS LTDA,11215831000105,"AVENIDA PRINCESA ISABEL,  2284",,BARRA VELHA,11630000,SP,ILHABELA,BANDEIRA BRANCA,04/02/2010,NÃO,,,ADIMPLENTE
PR/SP0082226,05/04/2010,1160519,AUTO POSTO AEROPORTO DE UBATUBA LTDA,11307599000127,"AVENIDA ANTONIO CARLOS RIBEIRO,  0",,CENTRO,11680000,SP,UBATUBA,RAIZEN,14/07/2011,NÃO,,,ADIMPLENTE
PR/SP0085953,28/09/2010,1166282,POSTO SETE LORENA LTDA,11326281000193,"AVENIDA SETE DE SETEMBRO,  817",,BAIRRO DA CRUZ,12606150,SP,LORENA,BANDEIRA BRANCA,28/09/2010,NÃO,,,ADIMPLENTE
PF/SP0084404,25/06/2010,1162945,POSTO FLUTUANTE MONACO LTDA,11391765000116,"AVENIDA PLINIO FRANCA,  85",PIER SACO DA RIBEIRA,PRAIA DO SACO DA RIBEIRA,11680000,SP,UBATUBA,VIBRA,25/06/2010,NÃO,,,ADIMPLENTE
PR/SP0085186,16/09/2010,1165528,PRINCESA DO VALE AUTO POSTO & SERVICOS LTDA,11568323000100,"AVENIDA ITAGUASSU,  1616",,SAO SEBASTIAO,12576200,SP,APARECIDA,BANDEIRA BRANCA,20/08/2024,NÃO,,,ADIMPLENTE
PR/SP0090522,17/01/2011,1169438,CENTRO AUTOMOTIVO AJ & AR LTDA,12636131000149,"AVENIDA PRESIDENTE CASTELO BRANCO,  614",,SUMARE,11661300,SP,CARAGUATATUBA,RAIZEN,25/10/2012,NÃO,,,ADIMPLENTE
PR/SP0095582,27/05/2011,1173897,AUTO POSTO MENEGUZZI LTDA,13471573000145,"RUA PREFEITO ANTONINHO FRANÇA,  7",,CENTRO,12800000,SP,QUELUZ,BANDEIRA BRANCA,27/05/2011,NÃO,,,ADIMPLENTE
PR/SP0100047,18/01/2012,1182059,POSTO 2 ABASTECIMENTO DE COMBUSTIVEIS LTDA,13896264000117,"RUA ENGENHEIRO ANTONIO PENIDO,  1349",,VILA CANEVARI,12710000,SP,CRUZEIRO,BANDEIRA BRANCA,18/01/2012,NÃO,,,ADIMPLENTE
PR/SP0100046,02/09/2011,1177385,MJR COMERCIO DE COMBUSTIVEIS LTDA.,13896271000119,"RUA DR. CELESTINO,  1.307",,VILA CANEVARI,12710260,SP,CRUZEIRO,BANDEIRA BRANCA,26/12/2016,NÃO,,,ADIMPLENTE
PR/SP0100805,05/09/2011,1177418,AUTO POSTO BRITANIA DO LITORAL LTDA,13995391000173,"RUA ALVARO THEODORO DA CRUZ,  415",,JARDIM BRITANIA,11672190,SP,CARAGUATATUBA,IPIRANGA,25/06/2020,NÃO,,,ADIMPLENTE
PR/SP0104063,11/01/2012,1181825,AUTO POSTO LIDER DE UBATUBA LTDA,14314376000185,"AVENIDA MADAME CURIE,  66",,PEREQUE-ACU,11680000,SP,UBATUBA,IPIRANGA,11/01/2012,NÃO,,,ADIMPLENTE
PR/SP0113663,18/12/2012,1193004,AUTO POSTO LIDER CRUZEIRO LTDA.,15237666000135,"RUA ENGENHEIRO ANTONIO PENIDO,  875",,VILA CANEVARI,12710000,SP,CRUZEIRO,IPIRANGA,29/01/2013,NÃO,,,ADIMPLENTE
PR/SP0115205,08/11/2012,1191986,UMUARAMA SERVIÇOS AUTOMOTIVOS LTDA,15593566000141,"AVENIDA RIO GRANDE DO SUL,  1197",,CENTRO,11680000,SP,UBATUBA,BANDEIRA BRANCA,20/05/2016,NÃO,,,ADIMPLENTE
PR/SP0153083,17/04/2014,1205692,AUTO POSTO MORRO SANTO ANTONIO LTDA,15753624000157,"AVENIDA MARGINAL,  6155",,MASSAGUACU,11677000,SP,CARAGUATATUBA,RAIZEN,06/05/2022,NÃO,,,ADIMPLENTE
PR/SP0139963,06/08/2013,1199363,AUTO POSTO PEROLA DE UBATUBA LTDA,16628227000116,"PRACA 13 DE MAIO,  71",,CENTRO,11690168,SP,UBATUBA,RAIZEN,06/08/2013,NÃO,,,ADIMPLENTE
PR/SP0149125,03/02/2014,1203992,AUTOPINDA 2 ADMINISTRACAO PARTICIPACOES E SERVICOS AUTOMOTIVOS LTDA,18110581000180,"RUA ALCIDES RAMOS NOGUEIRA,  583",,MOMBACA,12421705,SP,PINDAMONHANGABA,VIBRA,03/02/2014,NÃO,,,ADIMPLENTE
PR/SP0179121,16/01/2017,1230613,AUTOPINDA 2 ADMINISTRACAO PARTICIPACOES E SERVICOS AUTOMOTIVOS LTDA,18110581000260,"RUA DOUTOR RODRIGO ROMERO,  25",,CRISPIM,12402060,SP,PINDAMONHANGABA,VIBRA,16/01/2017,NÃO,,,ADIMPLENTE
PR/SP0151082,05/06/2014,1206703,AUTO POSTO TRIUNFO PEREQUE ACU LTDA,18209275000103,"AVENIDA PADRE MANOEL DA NOBREGA,  1360",,PEREQUE ACU,11695164,SP,UBATUBA,BANDEIRA BRANCA,05/06/2014,NÃO,,,ADIMPLENTE
PR/SP0143962,11/12/2013,1202710,POSTO 3 ABASTECIMENTO DE COMBUSTIVEIS LTDA,18339634000139,"AVENIDA GOVERNADOR JANIO QUADROS,  389",,DOUTOR JOAO BATISTA,12720000,SP,CRUZEIRO,BANDEIRA BRANCA,11/12/2013,NÃO,,,ADIMPLENTE
PR/SP0167890,10/02/2015,1212821,POSTO CIDADE QUELUZ LTDA,20311418000127,"RODOVIA PRESIDENTE DUTRA,  S/N","TRECHO QUELUZ - SP,       KM 08",ZONA SUBURBANA,12800000,SP,QUELUZ,CIAPETRO,10/02/2015,NÃO,,,ADIMPLENTE
PR/SP0167711,19/11/2014,1210753,POSTO SERRA DA BOCAINA LTDA,20358063000121,"RUA MANOEL DE AGUIAR,  119",,CENTRO,12850000,SP,BANANAL,IPIRANGA,19/11/2014,NÃO,,,ADIMPLENTE
PR/SP0173846,16/03/2016,1221907,REDE DOM PEDRO DE POSTOS LTDA.,20415295003009,"RODOVIA PRESIDENTE DUTRA,  S/N",KM 71,PADRE VITOR,12570000,SP,APARECIDA,RAIZEN,16/03/2016,NÃO,,,ADIMPLENTE
PR/SP0184438,22/12/2017,1239949,REDE DOM PEDRO DE POSTOS LTDA.,20415295004242,"RODOVIA PRESIDENTE DUTRA,  S/N",KM    49.7,PARQUE MONDESIR,12605530,SP,LORENA,RAIZEN,22/12/2017,NÃO,,,ADIMPLENTE
PR/SP0250935,03/10/2025,1313455,REDE DOM PEDRO DE POSTOS LTDA.,20415295008310,"RODOVIA PRESIDENTE DUTRA,  S/N",KM    86,MOREIRA CESAR,12440245,SP,PINDAMONHANGABA,RAIZEN,16/10/2025,NÃO,,,ADIMPLENTE
PR/SP70974,09/07/2015,1215970,AUTO POSTO BRASIL GAS CANAS RJ-SP LTDA,20885960000193,"RODOVIA PRESIDENTE DUTRA,  S/N","KM    45,7",ALTO DO CRUZEIRO,12615000,SP,CANAS,BANDEIRA BRANCA,09/07/2015,NÃO,,,ADIMPLENTE
PR/SP0171480,13/08/2015,1216906,AGP COMERCIO DE COMBUSTIVEIS EIRELI,21286314000172,"AL FRANCISCO DA CUNHA MENEZES,  1155",,FALCAO,12530000,SP,CUNHA,IPIRANGA,13/08/2015,NÃO,,,ADIMPLENTE
PR/SP0178851,21/12/2016,1229981,AUTO POSTO LIDER PIQUETE LTDA - EPP,23878891000189,"RODOVIA ITAJUBA LORENA,  327",: 329 - BR 459;,VILA CELESTE,12620000,SP,PIQUETE,RAIZEN,21/12/2016,NÃO,,,ADIMPLENTE
PR/SP0176549,21/07/2016,1225370,AUTO POSTO & SERVICOS CAMINHO DO OURO LTDA,24383849000150,"PRACA EDGAR JOSE DE OLIVEIRA,  100",,VILA RICA,12530000,SP,CUNHA,BANDEIRA BRANCA,21/07/2016,NÃO,,,ADIMPLENTE
PR/SP0177332,20/10/2016,1228146,AUTO POSTO BRASIL GAS SANTA ISABEL LTDA,24496451000120,"RODOVIA PRESIDENTE DUTRA,  S/N",KM    195,CACHOEIRA,7500000,SP,SANTA ISABEL,BANDEIRA BRANCA,20/10/2016,NÃO,,,ADIMPLENTE
PR/SP0181384,14/06/2017,1234360,AUTO POSTO SANTO ANTONIO DE CARAGUA LTDA,24864224000100,"AVENIDA MIGUEL VARLEZ,  700",,JARDIM PRIMAVERA,11660650,SP,CARAGUATATUBA,IPIRANGA,14/06/2017,NÃO,,,ADIMPLENTE
PR/SP0194068,19/08/2019,1256706,POSTO 9 ABASTECIMENTO DE COMBUSTIVEIS LTDA,25215793000197,"ESTRADA MUNICIPAL PIQUETE 491,  20",,JARDIM SANTA ISABEL,12620000,SP,PIQUETE,BANDEIRA BRANCA,20/02/2026,NÃO,,,ADIMPLENTE
